,name,min salary,max salary,currency,vac_link,site
0,Швея/портной-универсал,60000,110000,руб.,https://hh.ru/vacancy/69675667?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
1,"Портной, швея на производство одежды",60000,120000,руб.,https://hh.ru/vacancy/68608323?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
2,Швея-портной,80000,150000,руб.,https://hh.ru/vacancy/67550627?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
3,Швея ученик,50000,,руб.,https://hh.ru/vacancy/69488501?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
4,Швея,65000,120000,руб.,https://hh.ru/vacancy/69546293?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
5,Швея-портной (при необходимости с предоставлением жилья),85000,150000,руб.,https://hh.ru/vacancy/69377942?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
6,Швея,,90000,руб.,https://hh.ru/vacancy/69169492?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
7,Швея,70000,110000,руб.,https://hh.ru/vacancy/69482659?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
8,Швея,70000,100000,руб.,https://hh.ru/vacancy/69469036?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
9,Швея,80000,130000,руб.,https://hh.ru/vacancy/68942324?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
10,Швея (работа или подработка),50000,100000,руб.,https://hh.ru/vacancy/69621240?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
11,Швея - портной по ремонтам и на пошив в ателье,100000,120000,руб.,https://hh.ru/vacancy/69594322?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
12,Швея-портной,80000,120000,руб.,https://hh.ru/vacancy/69442884?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
13,Швея,70000,100000,руб.,https://hh.ru/vacancy/69716157?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
14,Швея-портной,85000,150000,руб.,https://hh.ru/vacancy/69563370?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
15,Швея-портной,,100000,руб.,https://hh.ru/vacancy/69535736?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
16,Швея,30000,100000,руб.,https://hh.ru/vacancy/69621662?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
17,Швея в швейный цех,60000,100000,руб.,https://hh.ru/vacancy/68546344?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
18,Швея,60000,120000,руб.,https://hh.ru/vacancy/69180790?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
19,Швея,60000,120000,руб.,https://hh.ru/vacancy/69231220?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
20,Швея / портной (женская одежда),90000,180000,руб.,https://hh.ru/vacancy/69112443?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
21,Швея,51800,65000,руб.,https://hh.ru/vacancy/69365558?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
22,Швея на прямострочку,50000,,руб.,https://hh.ru/vacancy/69544365?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
23,Швея,60000,90000,руб.,https://hh.ru/vacancy/69651959?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
24,Швея,80000,100000,руб.,https://hh.ru/vacancy/69453375?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
25,Швея,60000,150000,руб.,https://hh.ru/vacancy/69723916?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
26,Швея,,100000,руб.,https://hh.ru/vacancy/69328429?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
27,Швея-портной,88000,100000,руб.,https://hh.ru/vacancy/68986144?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
28,Швея (машинная и ручная вышивка),,,,https://hh.ru/vacancy/69707290?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
29,Швея,95000,120000,руб.,https://hh.ru/vacancy/69721852?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
30,Швея-портной,60000,100000,руб.,https://hh.ru/vacancy/69200089?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
31,Швея,65000,150000,руб.,https://hh.ru/vacancy/69410901?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
32,Швея,60000,100000,руб.,https://hh.ru/vacancy/69073703?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
33,Швея,60000,,руб.,https://hh.ru/vacancy/69666781?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
34,Швея-портной,50000,120000,руб.,https://hh.ru/vacancy/69302012?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
35,Швея,60000,,руб.,https://hh.ru/vacancy/69267441?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
36,Швея - портной (верхняя одежда),80000,160000,руб.,https://hh.ru/vacancy/68921176?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
37,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69684803?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
38,Швея по ремонту одежды (подработка).,,,,https://hh.ru/vacancy/69718303?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
39,Швея,90000,120000,руб.,https://hh.ru/vacancy/68845868?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
40,Швея,50000,,руб.,https://hh.ru/vacancy/68976889?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
41,Швея,,,,https://hh.ru/vacancy/68683320?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
42,Швея-портной,60000,,руб.,https://hh.ru/vacancy/69649191?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
43,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69679119?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
44,Швея,50000,90000,руб.,https://hh.ru/vacancy/69570059?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
45,Швея. Трикотажное нижнее белье,50000,65000,руб.,https://hh.ru/vacancy/69100413?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
46,Швея-портной,80000,100000,руб.,https://hh.ru/vacancy/69678770?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
47,Швея,50000,80000,руб.,https://hh.ru/vacancy/54007435?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
48,Швея,60000,100000,руб.,https://hh.ru/vacancy/69049275?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
49,Швея по коже,,,,https://hh.ru/vacancy/68220373?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
50,Швея,65000,100000,руб.,https://hh.ru/vacancy/68076427?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
51,Швея,80000,100000,руб.,https://hh.ru/vacancy/69453093?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
52,Швея-портной женской одежды,60000,100000,руб.,https://hh.ru/vacancy/69439395?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
53,Швея,,,,https://hh.ru/vacancy/68683320?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
54,Швея-портной,50000,120000,руб.,https://hh.ru/vacancy/68697076?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
55,Швея,55000,60000,руб.,https://hh.ru/vacancy/69185471?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
56,Швея-портной,50000,90000,руб.,https://hh.ru/vacancy/69503288?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
57,Швея,25000,35000,руб.,https://hh.ru/vacancy/69661778?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
58,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69679119?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
59,Швея,60000,120000,руб.,https://hh.ru/vacancy/68571014?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
60,Швея-портной,70000,80000,руб.,https://hh.ru/vacancy/69684803?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
61,Швея,50000,,руб.,https://hh.ru/vacancy/68976889?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
62,Швея - универсал,70000,80000,руб.,https://hh.ru/vacancy/69698555?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
63,Швея-портной,70000,150000,руб.,https://hh.ru/vacancy/68398467?query=%D1%88%D0%B2%D0%B5%D1%8F,https://hh.ru
