,name,min salary,max salary,currency,vac_link,site
0,Швея-портная,40000,,руб.,https://www.superjob.ru/vakansii/shveya-portnaya-44581246.html,https://www.superjob.ru
1,Швея на производство,,,руб.,https://www.superjob.ru/vakansii/shveya-na-proizvodstvo-43658618.html,https://www.superjob.ru
2,Мастер ателье / Швея / Закройщик (ТЦ Весна),45000,,руб.,https://www.superjob.ru/vakansii/master-atele-41488632.html,https://www.superjob.ru
3,Швея,80000,,руб.,https://www.superjob.ru/vakansii/shveya-44384574.html,https://www.superjob.ru
4,Швея на производство,40000,50000,руб.,https://www.superjob.ru/vakansii/shveya-na-proizvodstvo-35565176.html,https://www.superjob.ru
5,Швея шторы,47000,,руб.,https://www.superjob.ru/vakansii/shveya-shtory-44380445.html,https://www.superjob.ru
6,Швея,60000,,руб.,https://www.superjob.ru/vakansii/shveya-43762577.html,https://www.superjob.ru
7,Швея,70000,,руб.,https://www.superjob.ru/vakansii/shveya-36170294.html,https://www.superjob.ru
8,Швея,,95000,руб.,https://www.superjob.ru/vakansii/shveya-44514942.html,https://www.superjob.ru
9,Швея на производство,,,,https://www.superjob.ru/vakansii/shveya-na-proizvodstvo-34606691.html,https://www.superjob.ru
10,Швея,,120000,руб.,https://www.superjob.ru/vakansii/shveya-44455733.html,https://www.superjob.ru
11,Швея,,,,https://www.superjob.ru/vakansii/shveya-44512517.html,https://www.superjob.ru
12,Швея,45000,60000,руб.,https://www.superjob.ru/vakansii/shveya-44681622.html,https://www.superjob.ru
13,Швея на производство,60000,90000,руб.,https://www.superjob.ru/vakansii/shveya-na-proizvodstvo-44512179.html,https://www.superjob.ru
14,"Мастер швейного цеха, бригадир, швея",60000,,руб.,https://www.superjob.ru/vakansii/master-shvejnogo-ceha-44227098.html,https://www.superjob.ru
15,Швея на производство,,,руб.,https://www.superjob.ru/vakansii/shveya-na-proizvodstvo-41409328.html,https://www.superjob.ru
16,Мастер по ремонту и пошиву одежды / Швея,50000,,руб.,https://www.superjob.ru/vakansii/master-po-remontu-i-poshivu-odezhdy-44170309.html,https://www.superjob.ru
17,Швея по пошиву штор,50000,,руб.,https://www.superjob.ru/vakansii/shveya-po-poshivu-shtor-38107677.html,https://www.superjob.ru
18,Швея,35000,,руб.,https://www.superjob.ru/vakansii/shveya-43233188.html,https://www.superjob.ru
19,Швея-портная,50000,,руб.,https://www.superjob.ru/vakansii/shveya-portnaya-42702427.html,https://www.superjob.ru
20,Швея,50000,,руб.,https://www.superjob.ru/vakansii/shveya-44566840.html,https://www.superjob.ru
21,Швея-универсал,50000,,руб.,https://www.superjob.ru/vakansii/shveya-universal-44612591.html,https://www.superjob.ru
22,Швея,55000,,руб.,https://www.superjob.ru/vakansii/shveya-44439851.html,https://www.superjob.ru
23,Швея на женскую одежду,4000,4000,руб.,https://www.superjob.ru/vakansii/shveya-na-zhenskuyu-odezhdu-44564909.html,https://www.superjob.ru
24,Швея на производство,30000,,руб.,https://www.superjob.ru/vakansii/shveya-na-proizvodstvo-42909017.html,https://www.superjob.ru
25,Швея-закройщик,40000,,руб.,https://www.superjob.ru/vakansii/shveya-zakrojschik-44500529.html,https://www.superjob.ru
26,Швея,65000,80000,руб.,https://www.superjob.ru/vakansii/shveya-31498004.html,https://www.superjob.ru
27,Швея по шторам,50000,,руб.,https://www.superjob.ru/vakansii/shveya-po-shtoram-44556236.html,https://www.superjob.ru
28,Швея-закройщица по пошиву штор,50000,80000,руб.,https://www.superjob.ru/vakansii/shveya-zakrojschica-po-poshivu-shtor-43634925.html,https://www.superjob.ru
29,Швея,70000,100000,руб.,https://www.superjob.ru/vakansii/shveya-44430655.html,https://www.superjob.ru
30,Швея,,80000,руб.,https://www.superjob.ru/vakansii/shveya-44591339.html,https://www.superjob.ru
